General Government Debt (Percent of GDP),1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Estimates start after
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brazil,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,67.330659,76.095054,71.51364,68.025064,66.968516,64.598819,63.024659,61.420078,64.701584,62.433202,60.63371,61.614255,59.594682,61.617149,71.729677,77.422191,82.744953,84.777046,87.118481,96.006839,88.934272,83.938835,84.000518,87.283842,2024
"China, People's Republic of",no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,21.423797,21.220679,20.394346,20.438078,21.609056,22.707831,24.252332,25.553138,26.41798,25.999898,25.910046,25.173645,28.707723,26.715032,33.984778,33.343159,33.184085,33.825236,36.437679,39.307847,40.781626,49.71999,53.903251,55.577191,59.441472,69.035362,70.146806,75.453183,82.013641,88.327128,2024
Egypt,115.74193,121.40054,127.75311,117.92797,116.99225,113.91374,116.04047,95.642881,90.254653,83.22475,86.931991,122.41254,129.83197,113.4031,105.73819,97.510652,88.133637,80.190669,76.415599,73.303935,69.469755,76.625465,85.776013,97.094864,96.511849,98.262557,85.924229,76.267557,66.760615,69.450038,69.589541,72.829976,69.861625,79.81205,80.874041,83.753677,91.586298,97.800323,87.949081,80.092066,86.222475,89.902601,88.533527,95.929532,90.925082,2024
Ethiopia,18.543547,30.648862,48.806334,55.217894,65.355375,67.694989,75.708571,82.286975,84.317615,84.70365,91.614546,89.256378,88.934283,129.89762,144.79201,138.21098,128.95956,77.43302,86.010233,94.255795,93.632601,97.324758,107.36278,103.69073,103.10411,78.238785,79.631148,55.703958,56.056028,29.960088,39.436001,44.564936,39.358315,44.103875,44.15245,50.74312,51.803215,55.278048,58.448871,54.698545,53.697265,53.771685,46.927122,38.737322,32.296546,2024
India,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,76.653394,78.762417,78.328376,74.752747,70.875515,67.133481,69.007533,69.283871,71.266784,74.940513,80.110431,84.304258,85.882905,84.890373,82.377826,77.941104,75.455097,74.367659,72.769814,67.701787,68.647829,67.984532,67.713353,67.102041,69.048587,68.943091,69.669383,70.392344,75.040396,88.426608,83.486538,82.17323,81.230795,81.285982,2024
Indonesia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,87.437299,73.702115,62.339381,55.642692,51.328172,42.611727,35.847734,38.12094,30.252037,26.483126,26.363125,23.106018,22.954664,24.884377,24.645273,27.013304,27.955461,29.395537,30.422723,30.563455,39.747126,41.140307,40.140611,39.601294,40.188701,2024
Russian Federation,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,135.1933,92.379379,55.868371,44.438155,37.577188,28.334198,20.827898,14.85063,9.8039012,8.0326956,7.4462447,9.9181918,10.105264,10.340154,11.167431,12.348062,15.135824,15.28642,14.849323,14.311072,13.619616,13.747518,19.156129,16.524341,18.480342,19.486623,20.302591,2024
United Arab Emirates,2.4881407,2.2878974,2.5219857,3.0964417,3.4705934,3.8895569,5.3542035,5.2825313,5.5970118,5.1952752,4.2998697,4.9729449,5.3126392,6.0108754,5.5834102,5.0618867,3.4826067,2.8589151,4.1829198,4.726629,3.1198914,2.6896826,3.4271481,3.3319962,4.0800812,4.4815216,5.0516548,8.8916651,8.9494419,21.136111,18.798562,20.862349,20.657221,15.611114,13.818651,16.10446,19.26705,21.86356,21.329189,26.80107,41.293841,36.291296,32.05678,32.435968,32.114167,2024
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"©IMF, 2026",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,