Country Name,"Country Code","Series Name","Series Code","1980 [YR1980]","1981 [YR1981]","1982 [YR1982]","1983 [YR1983]","1984 [YR1984]","1985 [YR1985]","1986 [YR1986]","1987 [YR1987]","1988 [YR1988]","1989 [YR1989]","1990 [YR1990]","1991 [YR1991]","1992 [YR1992]","1993 [YR1993]","1994 [YR1994]","1995 [YR1995]","1996 [YR1996]","1997 [YR1997]","1998 [YR1998]","1999 [YR1999]","2000 [YR2000]","2001 [YR2001]","2002 [YR2002]","2003 [YR2003]","2004 [YR2004]","2005 [YR2005]","2006 [YR2006]","2007 [YR2007]","2008 [YR2008]","2009 [YR2009]","2010 [YR2010]","2011 [YR2011]","2012 [YR2012]","2013 [YR2013]","2014 [YR2014]","2015 [YR2015]","2016 [YR2016]","2017 [YR2017]","2018 [YR2018]","2019 [YR2019]","2020 [YR2020]","2021 [YR2021]","2022 [YR2022]","2023 [YR2023]","2024 [YR2024]"
Brazil,"BRA","Gini index","SI.POV.GINI","#N/A","57.9","58.4","58.9","58.3","55.5","58.4","59.6","61.4","63.2","60.5","#N/A","53.1","60.1","#N/A","59.5","59.8","59.8","59.6","59","#N/A","58.4","58.1","57.6","56.5","56.3","55.6","54.9","54","53.7","#N/A","52.9","53.4","52.7","52.1","51.9","53.4","53.3","53.9","53.5","48.8","52.9","51.9","51.5","50.3"
China,"CHN","Gini index","SI.POV.GINI","#N/A","28.2","#N/A","#N/A","27.1","#N/A","#N/A","29.4","#N/A","#N/A","32.2","#N/A","#N/A","33.9","#N/A","#N/A","35.2","#N/A","#N/A","38.7","#N/A","#N/A","42","#N/A","#N/A","40.9","#N/A","#N/A","43","#N/A","43.7","42.4","42.2","39.7","39.2","38.6","38.5","39.1","38.5","38.2","37.1","35.7","36","#N/A","#N/A"
"Egypt, Arab Rep.","EGY","Gini index","SI.POV.GINI","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","32","#N/A","#N/A","#N/A","#N/A","30.1","#N/A","#N/A","#N/A","30.8","#N/A","#N/A","#N/A","#N/A","31.8","#N/A","#N/A","#N/A","31.1","#N/A","30.2","#N/A","28.3","#N/A","#N/A","31.8","#N/A","31.5","#N/A","31.9","#N/A","28.5","#N/A","#N/A","#N/A"
Ethiopia,"ETH","Gini index","SI.POV.GINI","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","44.6","#N/A","#N/A","#N/A","30","#N/A","#N/A","#N/A","#N/A","29.8","#N/A","#N/A","#N/A","#N/A","#N/A","33.2","#N/A","#N/A","#N/A","#N/A","35","#N/A","#N/A","#N/A","#N/A","#N/A","31.1","#N/A","#N/A","#N/A"
India,"IND","Gini index","SI.POV.GINI","#N/A","#N/A","#N/A","27.2","#N/A","#N/A","#N/A","27.5","#N/A","#N/A","#N/A","#N/A","#N/A","26.1","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","27.7","#N/A","#N/A","#N/A","#N/A","27.8","#N/A","28.8","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","25.5","#N/A","#N/A"
Indonesia,"IDN","Gini index","SI.POV.GINI","#N/A","#N/A","#N/A","#N/A","32.3","#N/A","#N/A","30.4","#N/A","#N/A","31.1","#N/A","#N/A","31.8","#N/A","#N/A","34.2","#N/A","30.9","30.8","30.3","31.2","30.2","29.3","30.4","29.9","31.5","33.2","32.6","33.4","34.6","37.9","37.1","38.9","38.8","38.2","36.9","36.4","36.3","35.4","35.3","35.5","35.5","36.1","34.9"
"Iran, Islamic Rep.","IRN","Gini index","SI.POV.GINI","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","47.4","#N/A","#N/A","#N/A","43.6","#N/A","#N/A","#N/A","43","#N/A","#N/A","#N/A","44.1","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","43.6","44.8","#N/A","#N/A","42.1","#N/A","34.7","34.4","34","34.8","35.3","35.9","36.7","37.4","36.5","35.8","35.5","34.8","35.9","#N/A"
Russian Federation,"RUS","Gini index","SI.POV.GINI","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","45.4","#N/A","#N/A","46.1","38.4","38.1","37.4","37.1","36.9","37.3","40","40.3","41.3","41","42.3","41.6","39.8","39.5","39.7","40.7","40.9","36.9","36.5","36.7","35.5","35.3","35.7","33.7","35.1","33.9","33","#N/A"
South Africa,"ZAF","Gini index","SI.POV.GINI","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","59.3","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","57.8","#N/A","#N/A","#N/A","#N/A","65","#N/A","#N/A","62.5","#N/A","60.9","#N/A","#N/A","#N/A","59.6","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","54.1","#N/A","#N/A"
United Arab Emirates,"ARE","Gini index","SI.POV.GINI","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","32.5","#N/A","#N/A","#N/A","#N/A","26.4","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Data from database: World Development Indicators,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Last Updated: 04/08/2026,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
